[2022-05-11 14:15:08] [info]  [11244] Apache Commons Daemon procrun (1.3.0.0 64-bit) started.
[2022-05-11 14:15:09] [info]  [11244] Installing service 'Tomcat10' name 'Apache Tomcat 10.0 Tomcat10'.
[2022-05-11 14:15:09] [info]  [11244] Service 'Tomcat10' installed.
[2022-05-11 14:15:09] [info]  [11244] Apache Commons Daemon procrun finished.
[2022-05-11 14:15:10] [info]  [ 2592] Apache Commons Daemon procrun (1.3.0.0 64-bit) started.
[2022-05-11 14:15:10] [info]  [ 2592] Updating service...
[2022-05-11 14:15:10] [info]  [ 2592] Updated service 'Tomcat10'.
[2022-05-11 14:15:10] [info]  [ 2592] Finished updating service 'Tomcat10'.
[2022-05-11 14:15:10] [info]  [ 2592] Apache Commons Daemon procrun finished.
[2022-05-11 14:15:11] [info]  [15388] Apache Commons Daemon procrun (1.3.0.0 64-bit) started.
[2022-05-11 14:15:11] [info]  [15388] Updating service...
[2022-05-11 14:15:11] [info]  [15388] Updated service 'Tomcat10'.
[2022-05-11 14:15:11] [info]  [15388] Finished updating service 'Tomcat10'.
[2022-05-11 14:15:11] [info]  [15388] Apache Commons Daemon procrun finished.
[2022-05-11 14:15:11] [info]  [10556] Apache Commons Daemon procrun (1.3.0.0 64-bit) started.
[2022-05-11 14:15:11] [info]  [10556] Updating service...
[2022-05-11 14:15:11] [info]  [10556] Updated service 'Tomcat10'.
[2022-05-11 14:15:11] [info]  [10556] Finished updating service 'Tomcat10'.
[2022-05-11 14:15:11] [info]  [10556] Apache Commons Daemon procrun finished.
[2022-05-11 14:15:11] [info]  [14760] Apache Commons Daemon procrun (1.3.0.0 64-bit) started.
[2022-05-11 14:15:11] [info]  [14760] Updating service...
[2022-05-11 14:15:11] [info]  [14760] Updated service 'Tomcat10'.
[2022-05-11 14:15:11] [info]  [14760] Finished updating service 'Tomcat10'.
[2022-05-11 14:15:11] [info]  [14760] Apache Commons Daemon procrun finished.
[2022-05-11 14:15:14] [info]  [16840] Apache Commons Daemon procrun (1.3.0.0 64-bit) started.
[2022-05-11 14:15:14] [info]  [16840] Running Service 'Tomcat10'...
[2022-05-11 14:15:14] [info]  [14156] Starting service...
[2022-05-11 14:15:15] [info]  [14156] Service started in 1137 milliseconds.
[2022-05-11 14:59:37] [info]  [17436] Stopping service...
[2022-05-11 14:59:38] [info]  [17436] Service stop thread completed.
[2022-05-11 14:59:38] [info]  [16840] Run service finished.
[2022-05-11 14:59:38] [info]  [16840] Apache Commons Daemon procrun finished.
